TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1927.01,14344979,12.3353,4.111761176,4.11121569,0.018156355,0.570770972,0.019195167,0.257047932
1907.01,453789494,10.7316,5.478847885,5.479555111,0.007191898,0.562999122,0.007789626,0.255379265
1714.01,239154970,10.7131,3.474047405,3.473925475,0.011126413,0.342294185,0.011057555,0.254290884
924.01,382068562,11.3593,12.1290129,12.12934385,0.016706783,0.403812436,0.015502834,0.2523488
1130.01,254113311,10.1429,8.349534953,8.345439449,0.014441987,0.284278726,0.014713416,0.252144815
622.01,83092282,8.5615,6.403240324,6.404181957,0.003385055,0.419716924,0.003616157,0.251873137
123.01,290131778,7.87598,3.308280828,3.308036249,0.003638788,0.268295347,0.003598764,0.250557534
483.01,393414358,10.439,4.376987699,4.37744355,0.006176724,0.524752671,0.006249159,0.246523125
192.01,183537452,10.2499,3.922592259,3.921803251,0.009743616,0.360020648,0.009858153,0.246237042
1528.01,285543785,9.716,9.938943894,9.938456222,0.00665305,0.366594472,0.006668028,0.24513593
2197.01,389352124,9.0532,4.954245425,4.954542619,0.00563219,0.364075069,0.005705491,0.239425529
773.01,286865921,11.5037,4.973747375,4.972646297,0.010667725,0.519400723,0.011060205,0.238414124
112.01,388104525,11.6035,2.498949895,2.499605451,0.013081124,0.481656265,0.013517146,0.237470941
505.01,268644785,10.6815,3.329732973,3.329633323,0.009258374,0.40008339,0.009528182,0.228906657
404.01,166833457,12.3943,2.96309631,2.962493324,0.024762866,0.478581508,0.025275603,0.224392597
1925.01,118956453,11.9397,2.344884488,2.344072774,0.015233369,0.462910704,0.014674512,0.220536256
1924.01,371443216,8.0552,2.824632463,2.824240817,0.007667213,0.235432814,0.00769255,0.21887328
1478.01,409794137,10.2042,10.18271827,10.18094361,0.009285573,0.341401398,0.009259915,0.216624767
769.01,248075138,11.3728,4.981548155,4.982256957,0.015517486,0.38814083,0.01587283,0.215479902
1477.01,240681314,10.6496,2.732973297,2.732248337,0.008197641,0.487261409,0.008316039,0.214450801
468.01,33521996,13.3383,3.323882388,3.323659729,0.02941469,0.761914112,0.034788506,0.209913008
2380.01,176220787,9.4834,5.215571557,5.215248978,0.004338022,0.420051491,0.00451585,0.204572564
664.01,55092869,7.3212,4.739723972,4.73915139,0.002223149,0.298403454,0.002189369,0.20387372
191.01,183532609,9.1468,8.159565461,8.158415842,0.012611071,0.221471317,0.012841543,0.198924646
